mouse_id,week,weight
M1,0,31.72
M1,1,32.97
M1,2,32.23
M1,3,31.58
M1,4,31.35
M1,5,29.72
M1,6,31.15
M1,7,29.29
M1,8,29.2
M1,9,28.94
M1,10,26.37
M2,0,31.52
M2,1,30.02
M2,2,28.44
M2,3,28.71
M2,4,30.04
M2,5,27.73
M2,6,26.48
M2,7,26.71
M2,8,26.51
M2,9,25.38
M2,10,24.86
M3,0,35.49
M3,1,34.86
M3,2,33.94
M3,3,33.48
M3,4,33.19
M3,5,32.42
M3,6,32.26
M3,7,31.93
M3,8,32.31
M3,9,30.31
M3,10,31.15
M4,0,34.97
M4,1,32.99
M4,2,33.15
M4,3,32.72
M4,4,32.01
M4,5,31.35
M4,6,30.57
M4,7,29.38
M4,8,30.58
M4,9,27.81
M4,10,29.61
M5,0,38.17
M5,1,36.55
M5,2,37.05
M5,3,36.69
M5,4,36.24
M5,5,35.09
M5,6,35.11
M5,7,34.57
M5,8,33.51
M5,9,33.23
M5,10,33.48
M6,0,34.42
M6,1,34.54
M6,2,33.84
M6,3,33.16
M6,4,32.89
M6,5,32.55
M6,6,31.91
M6,7,31.49
M6,8,31.32
M6,9,30.32
M6,10,30.07
