mouse_id,diet,week,weight
M1,High_Protein,0,32.95
M1,High_Protein,1,31.44
M1,High_Protein,2,31.78
M1,High_Protein,3,33.18
M1,High_Protein,4,30.94
M1,High_Protein,5,29.77
M1,High_Protein,6,30.06
M1,High_Protein,7,29.93
M1,High_Protein,8,28.87
M1,High_Protein,9,28.42
M1,High_Protein,10,29.03
M2,High_Protein,0,31.02
M2,High_Protein,1,30.29
M2,High_Protein,2,30.02
M2,High_Protein,3,29.92
M2,High_Protein,4,29.35
M2,High_Protein,5,29.38
M2,High_Protein,6,29.24
M2,High_Protein,7,29.81
M2,High_Protein,8,28.0
M2,High_Protein,9,29.04
M2,High_Protein,10,29.25
M3,High_Protein,0,34.26
M3,High_Protein,1,34.63
M3,High_Protein,2,34.41
M3,High_Protein,3,33.9
M3,High_Protein,4,33.45
M3,High_Protein,5,32.87
M3,High_Protein,6,31.88
M3,High_Protein,7,33.29
M3,High_Protein,8,30.72
M3,High_Protein,9,32.73
M3,High_Protein,10,32.71
M4,High_Protein,0,33.35
M4,High_Protein,1,34.02
M4,High_Protein,2,33.83
M4,High_Protein,3,33.55
M4,High_Protein,4,32.57
M4,High_Protein,5,32.77
M4,High_Protein,6,32.39
M4,High_Protein,7,31.51
M4,High_Protein,8,31.39
M4,High_Protein,9,31.82
M4,High_Protein,10,30.82
M5,High_Protein,0,37.89
M5,High_Protein,1,37.43
M5,High_Protein,2,36.99
M5,High_Protein,3,36.95
M5,High_Protein,4,36.84
M5,High_Protein,5,36.43
M5,High_Protein,6,36.25
M5,High_Protein,7,36.31
M5,High_Protein,8,35.55
M5,High_Protein,9,35.53
M5,High_Protein,10,35.04
M6,High_Protein,0,34.99
M6,High_Protein,1,34.28
M6,High_Protein,2,34.38
M6,High_Protein,3,34.22
M6,High_Protein,4,32.31
M6,High_Protein,5,33.59
M6,High_Protein,6,33.06
M6,High_Protein,7,31.49
M6,High_Protein,8,32.99
M6,High_Protein,9,31.29
M6,High_Protein,10,31.07
M7,Low_Protein,0,32.95
M7,Low_Protein,1,31.16
M7,Low_Protein,2,30.48
M7,Low_Protein,3,30.55
M7,Low_Protein,4,30.46
M7,Low_Protein,5,30.2
M7,Low_Protein,6,30.0
M7,Low_Protein,7,30.2
M7,Low_Protein,8,28.32
M7,Low_Protein,9,27.67
M7,Low_Protein,10,28.19
M8,Low_Protein,0,30.0
M8,Low_Protein,1,29.39
M8,Low_Protein,2,28.04
M8,Low_Protein,3,28.69
M8,Low_Protein,4,28.1
M8,Low_Protein,5,26.96
M8,Low_Protein,6,28.19
M8,Low_Protein,7,25.27
M8,Low_Protein,8,26.02
M8,Low_Protein,9,24.48
M8,Low_Protein,10,23.74
M9,Low_Protein,0,34.83
M9,Low_Protein,1,35.63
M9,Low_Protein,2,34.13
M9,Low_Protein,3,33.68
M9,Low_Protein,4,33.21
M9,Low_Protein,5,33.19
M9,Low_Protein,6,33.11
M9,Low_Protein,7,32.1
M9,Low_Protein,8,32.14
M9,Low_Protein,9,31.68
M9,Low_Protein,10,30.09
M10,Low_Protein,0,33.43
M10,Low_Protein,1,33.28
M10,Low_Protein,2,32.71
M10,Low_Protein,3,31.84
M10,Low_Protein,4,32.23
M10,Low_Protein,5,30.66
M10,Low_Protein,6,30.18
M10,Low_Protein,7,30.04
M10,Low_Protein,8,29.24
M10,Low_Protein,9,28.25
M10,Low_Protein,10,29.01
M11,Low_Protein,0,33.89
M11,Low_Protein,1,33.69
M11,Low_Protein,2,33.06
M11,Low_Protein,3,30.85
M11,Low_Protein,4,31.15
M11,Low_Protein,5,29.76
M11,Low_Protein,6,29.44
M11,Low_Protein,7,28.89
M11,Low_Protein,8,27.32
M11,Low_Protein,9,26.4
M11,Low_Protein,10,26.22
M12,Low_Protein,0,32.37
M12,Low_Protein,1,31.83
M12,Low_Protein,2,31.92
M12,Low_Protein,3,31.22
M12,Low_Protein,4,31.18
M12,Low_Protein,5,30.86
M12,Low_Protein,6,29.65
M12,Low_Protein,7,29.33
M12,Low_Protein,8,29.41
M12,Low_Protein,9,28.95
M12,Low_Protein,10,28.49
